,Test,Statistic,P Value
0,k2,153.89340175178205,3.8235996126657544e-34
1,t,2.861994276017172,0.007478513924156773
2,f,6.4830294945901885,0.0004118749803459716
3,Median test,17.655172413793103,0.000518070578829359
4,Kruskal,18.01855944226185,0.0004359899031935094
